Expanded Device Code (Hex),Description,Company Name,
E2BF,GT-CT8900,GASENSOR,
E2C0,GQ-CE8900,Gasensor,
E2C5,MTM-01-TR-M,METROVAL,
E2C6,ACM 2 HRT,AMFLOW,
E2CC,Open Path Receiver,ESP Safety,
E2CE,JUMO dTRANS p20,JUMO GmbH & Co KG,
E2CF,ASP2000,ANALOG SYSTEMS,
E2D0,AST3000,ANALOG SYSTEMS,
E2D1,ASF4000,ANALOG SYSTEMS,
E2D2,Sapphire-22MP-VN,Teplokontrol,
E2D3,SCL-76 Flowmeter,Huizhong,
E2D4,SCL-70 Flowmeter,Huizhong,
E2D5,SCL-712 Flowmeter,Huizhong,
E2D6,SCL-714 Flowmeter,Huizhong,
E2D7,SCL-60 Flowmeter,Huizhong,
E2D8,SCL-61 Flowmeter,Huizhong,
E2D9,SCL-62 Flowmeter,Huizhong,
E2DA,SCL-80 Flowmeter,Huizhong,
E2DB,SCL-81 Flowmeter,Huizhong,
E2DC,SCL-82 Flowmeter,Huizhong,
E2DD,SCL-9 Flowmeter,Huizhong,
E2DE,PTM.OCS,STS,
E2E4,Mark Wireless Series,Dwyer Instruments,
E2E5,GTA-FMI,GASTECH AUSTRALIA,
E2E7,N8,Hitachi High-Tech,
E2E8,D58-DC,RIKEN KEIKI,
E2E9,GD-88,RIKEN KEIKI,
E2EA,MVP Smart Positioner,maxonic automation,
E2EB,INTELLI+ACTUATOR,Bernard Controls,
E2EC,PCH420V,Wilcoxon Research,
E2ED,TxIsoRail-HRT,Novus Automation,
E2EE,Tricor TCE-8501,TASI FLOW,
E2EF,MTM-01-TR-D,METROVAL,
E2F0,MTM-01-TR-V,METROVAL,
E2F1,MTM-01-GB-M,METROVAL,
E2F2,MTM-01-GB-D,METROVAL,
E2F3,MTM-01-GB-V,METROVAL,
E2F4,MTM-01-ESTREME,METROVAL,
E2F9,CRL-G Heat Meter,Huizhong,
E2FA,IDC24,Val Controls A/S,
E2FB,50101,Springfield Research Corp.,
E302,DPT100,"XI'AN DONGFENG MACHINERY&ELECTRONIC CO.,LTD",
E303,GQ-AEC2232bX,action98,
E304,AEC2232bX,action98,
E305,WD Series,Hanwei,
E306,D58-AC,RIKEN KEIKI,
E309,VM-105,OOO NPO Vakuummash,
E30C,SC5000 Level,Shucheng S&T,
E30D,BRIZ TM-Ex,Elemer,
E30E,IP 0304/M1-H,Elemer,
E30F,IP 0304/M2-H,Elemer,
E310,DUU10,Albatros,
E311,DTM3,Albatros,
E312,SIMA2,Albatros,
E313,TxIsoBlock-HRT,Novus Automation,
E314,30101,Springfield Research Corp.,
E315,11301,Springfield Research Corp.,
E316,TIDM-HRTTRANSMITTER,Texas Instruments,
E317,DS-300,"Beijing Yanshan Times Instrument CO.,Ltd.",
E318,KS-7,"Beijing Yanshan Times Instrument CO.,Ltd.",
E319,IPM 0499/M2-H,Elemer,
E320,RAEAlert,RAE Systems (Shanghai) Inc.,
E321,1XTXP,United Electric,
E322,1XTXT,United Electric,
E323,gPIMS,Guided Ultrasonics,
E325,MT-2523,PLT,
E32A,AquaTDS-SMARTPro-8969,Forbes Marshall,
E32C,G3-LEFM,Cameron,
E32F,KD-12,NEW COSMOS ELECTRIC,
E330,AIR-30M,Elemer,
E331,BRIZ TM1-Ex,Elemer,
E332,BRIZ TM-2Ex,Elemer,
E333,Mass flowmeter,Shanghai Yinuo,
E334,TriVAX,Hoerbiger,
E335,TTS 501,Sense Electronica Ltda.,
E336,VPT10,Vivace,
E337,VTT10,Vivace,
E338,VVP10,Vivace,
E339,VTP10,Vivace,
E33A,VHC10,Vivace,
E33C,Flomac,ELMETRO,
E33D,CamCor,Cameron,
E33E,NTP-4,ELMETRO,
E33F,ER-310,Rohrback Cosasco,
E340,AMI pH/mV:pH/mV,SWAN Analytical Instruments,
E341,AMI Codes-II,SWAN Analytical Instruments,
E342,AMI Codes-II CC,SWAN Analytical Instruments,
E343,AMI Codes-II HC,SWAN Analytical Instruments,
E344,AMI Codes-II TC,SWAN Analytical Instruments,
E345,AMI Solicon4,SWAN Analytical Instruments,
E346,AMI Hydrazine,SWAN Analytical Instruments,
E347,AMI Hydrogen,SWAN Analytical Instruments,
E348,AMI Inducon,SWAN Analytical Instruments,
E349,AMI ISE Universal,SWAN Analytical Instruments,
E34A,AMI Oxysafe,SWAN Analytical Instruments,
E34B,AMI Pharmacon,SWAN Analytical Instruments,
E34C,AMI Phosphate-II,SWAN Analytical Instruments,
E34D,AMI Phosphate HL,SWAN Analytical Instruments,
E34E,AMI Rescon,SWAN Analytical Instruments,
E34F,AMI Silica,SWAN Analytical Instruments,
E350,AMI Silitrace,SWAN Analytical Instruments,
E351,AMI Silitrace Ultra,SWAN Analytical Instruments,
E352,AMI Sodium,SWAN Analytical Instruments,
E353,AMI Soditrace,SWAN Analytical Instruments,
E354,AMI LineTOC,SWAN Analytical Instruments,
E355,AMI Trides,SWAN Analytical Instruments,
E356,AMI Turbi,SWAN Analytical Instruments,
E357,IPES,ESP Safety,
E35B,EHPC210,BIFOLD ORANGE,
E361,30301,Springfield Research Corp.,
F980,WirelessHART Network Manager,FieldComm Group,
F981,WirelessHART Gateway,FieldComm Group,
F982,Generic,FieldComm Group,
F983,SDC625,FieldComm Group,
F984,Analys,FieldComm Group,
